"project_name","type","credits_issued"
"Changdao Geothermal Central Heating System","Geothermal","1433154"
"Sapphire 49.5MW Wind Farm Project","Wind","216683"
"Hoa Binh 2 Wind Power Project","Wind","105007"
"Ca Mau 1A Wind Power Project","Wind",NA
"Ca Mau 1B Wind Power Project","Wind",NA
"Dong Hai 1 Wind Power Project – Phase 2","Wind",NA
"HBRE Chu Prong Wind Power Farm Project","Wind",NA
"Aksu Wind Farm Project Turkey","Wind","744216"
"GS10875 Namene Solar Lights Distribution Programme in Southern African Countries - Zimbabwe VPA 1 (GS 11343)","Solar",NA
"BOR BIOGAS-SOLAR HYBRID PROJECT","Solar",NA
"Hoa Dong Wind Power Project","Wind",NA
"Lac Hoa Wind Power Project","Wind",NA
"Thuan Nhien Phong Wind Farm","Wind","83630"
"Kangal Wind-Solar Hybrid Power Plant","Wind","379033"
"Hoa Binh 5 Wind Power Project – Phase 1","Wind",NA
"Ca Mau 1D Wind Power Plant","Wind",NA
"250 MW Wind Power Project by Mytrah Energy","Wind",NA
"Biolite Solar Lighting Project in Malawi","Solar",NA
"Biolite Solar Lighting Project in Rwanda","Solar",NA
"Fajina Geothermal Based Space Heating System","Geothermal","1491338"
"Bhesada Wind Power Project in Rajasthan","Wind","493381"
"Mandsaur Wind Power Project in Madhya Pradesh","Wind","151582"
"Rajgarh Wind Power Project in Rajasthan","Wind","91497"
"Lingasugur Wind Power Project in Karnataka","Wind","208793"
"ReNew Solar Power Project in AP","Solar","250217"
"Solar systems for small businesses and households","Solar",NA
"Solar systems for small businesses and households – CPA01","Solar",NA
"Solar Water Heater Progam in India CPA-08","Solar","16705"
"Nexif Energy Ben Tre Wind Power Project","Wind",NA
"Nhon Hoa 1 Wind Power Project","Wind","151927"
"Nhon Hoa 2 Wind Power Project","Wind","171098"
"Programme of Activities for Small Scale Solar and Wind Power Generation in Sri Lanka","Solar",NA
"10MW Solar One Ceylon (Pudukadumalai) Solar Power Project (2018-SOP-001-10.0MW)","Solar","47217"
"10MW Nedunkulam Solar PV Project (2018-SOP-002-10.0MW)","Solar","46738"
"10MW Anorchi Lanka (Baruthankanda) Solar Power Project (2018-SOP-003-10.0MW)","Solar","45060"
"10MW Iris (Baruthankanda) Solar Power Project (2018-SOP-004-10.0MW)","Solar","45324"
"Ea Nam Wind Power Project","Wind","693975"
"160MW Balaoi & Caunayan Wind Energy Project","Wind",NA
"Parque Solar Zonaxol","Solar",NA
"SOLVATTEN Solar Safe Water Heater Kenya","Solar",NA
"Central Area of Sanmenxia City Geothermal Based Space Heating System","Geothermal",NA
"Shaulder Photovoltaic Power Plant","Solar",NA
"Yunxiao Zengjiang Wind Farm","Wind","42682"
"Ras Ghareb Wind Energy Project","Wind","1092909"
"Yandun 8C Wind Farm Project","Wind","799396"
"CNOOC Pingyin Wind Farm Phase I project","Wind","201365"
"CNOOC Weifang Binhai Wind Farm Phase II Project","Wind","179916"
"Salkhit wind farm","Wind","421243"
"Tutly Solar PV Plant in Uzbekistan","Solar",NA
"GS11598- VPA-1 Emission Reductions due to distributed energy solutions by Bboxx – Rwanda Solar Home Systems","Solar",NA
"Santanasol 50MW PV Plant","Solar",NA
"NREA Zaafarana 50 MW Solar PV Park","Solar",NA
"90 MW Bundled Wind Power Project in Vietnam","Wind",NA
"Dora-3 34 MW Geothermal Power Plant Turkey","Geothermal",NA
"3MW PV project in Kosovo by Pro Energy LLC","Solar",NA
"Solar Lighting Mayotte","Solar",NA
"Beypazari Biomass-to-Energy Project Turkey","Biomass",NA
"Swarno Dweep Solar Project","Solar",NA
"Brine Heat Recovery Binary Power Plant","Geothermal",NA
"CAMLICA II HEPP","Hydropower","189794"
"Gunaydin WPP","Wind","267135"
"Abydos Solar Power Project in Egypt","Solar",NA
"Gansu Linze Nantaizi III 2.2MW Hydropower Project","Hydropower",NA
"Community-based Micro-hydro Mini-grids in Khyber Pakhtunkhwa","Hydropower",NA
"Bundled Renewable Power Project by Jai Bharat Gp","Wind",NA
"Amunet Wind Power Project in Egypt","Wind",NA
"Foundation Wind Energy-I Limited 50 MW Wind Farm Project","Wind","108503"
"Foundation Wind Energy-II (Private) Limited 50 MW Wind Farm Project","Wind","120074"
"Hasanbeyli 50 MW WPP Turkey","Wind","832461"
"10 MW Umurlar Wind Power Project Turkey","Wind",NA
"Solar Power for Rural Regions in Nigeria","Solar",NA
"CGN Tibet Shannan Sangri Phase I 10MWp Grid-connected Solar PV Power Generation Project","Solar",NA
"Hailifeng Shandong Geothermal Central Heating System","Geothermal",NA
"Solar Power Project by Hero Group (EKIESL- CDM.May-15-01)","Solar",NA
"Small-scale solar electrical programme South Africa","Solar",NA
"Zarafshan Wind Farm","Wind",NA
"14.90 MW Biomass-based power plant by Chattargarh Renewable Energy Pvt. Ltd. in Rajasthan India","Biomass",NA
"Hung Hai Gia Lai Wind Power Project","Wind",NA
"Tan Thuan Wind Power Project","Wind",NA
"Large scale Solar Project in Area 60 in Azerbaijan","Solar",NA
"Unite to Light & Solar Sister Solar Lamp Project  -  Tanzania 2023","Solar",NA
"Small-scale solar electrical programme South Africa – CPA-002","Solar","31528"
"Small-scale solar electrical programme South Africa – CPA-003","Solar","20731"
"Small-scale solar electrical programme South Africa – CPA-004","Solar","12024"
"Small-scale solar electrical programme South Africa – CPA-005","Solar","9740"
"Small-scale solar electrical programme South Africa – CPA-006","Solar","7020"
"Small-scale solar electrical programme South Africa – CPA-007","Solar","8081"
"Small-scale solar electrical programme South Africa – CPA-008","Solar","7249"
"Small-scale solar electrical programme South Africa – CPA-009","Solar",NA
"Small-scale solar electrical programme South Africa – CPA-010","Solar",NA
"Small-scale solar electrical programme South Africa – CPA-011","Solar",NA
"Small-scale solar electrical programme South Africa – CPA-012","Solar",NA
"Small-scale solar electrical programme South Africa – CPA-013","Solar",NA
"Small-scale solar electrical programme South Africa – CPA-014","Solar",NA
"Small-scale solar electrical programme South Africa – CPA-015","Solar",NA
"GEAAI Biomass Power Project","Biomass",NA
"Ca Mau 1C Wind Power Plant Project","Wind",NA
"GS10875 GS 11343 Namene Solar Lights Distribution Programme in Southern African Countries - Zimbabwe R-VPA 1","Solar",NA
"Bundled Renewable Power Project by Sharma Industries (EKIESL-CDM.December-14-02)","Solar",NA
"Cuamba solar project","Solar",NA
"Renewable Power Project by Hindustan Gum","Wind",NA
"Usak Wind Power Plant","Wind",NA
"GS10875 Namene Solar Lights Distribution Programme in Southern African Countries - Lesotho VPA 1","Solar",NA
"14.90 MW Biomass-based power plant by Jasrasar Green Power Energy Pvt. Ltd. in Rajasthan India","Biomass",NA
"14.90 MW Biomass-based power plant by Sardarshahar Agri Energy Pvt. Ltd. in Rajasthan India","Biomass",NA
"Illoulofin PV Solar Plant - Defissol","Solar",NA
"4 MW Hydro Power Project by AEMCPL","Hydropower",NA
"3MW Biomass Co-generation by M/s. NPS Sugar Industries Pvt. Ltd.","Biomass",NA
"Cabo Leones Wind Farm","Wind","430357"
"EGE Haina Solar Project","Solar",NA
"CEMEL HYDRO BUNDLE","Hydropower","196380"
"Esperanza Solar Plant","Solar",NA
"Nabq Solar PV project 20 MW","Solar",NA
"14.90 MW Biomass-based power plant by VCA Power Pvt. Ltd. in Rajasthan India","Biomass",NA
"14.90 MW Biomass-based power plant by TNA Renewable Energy Pvt. Ltd. in Rajasthan India","Biomass",NA
"14.90 MW Biomass-based power plant by KTA Powers Pvt. Ltd. in Rajasthan India","Biomass",NA
"Liki Pinangawan Muaralaboh Geothermal Power Plant","Geothermal","1144912"
"GS10875 GS 10876 Namene Solar Lights Distribution Programme in Southern African Countries - Zambia R-VPA 1","Solar",NA
"15 MW solar plants to power COP27","Solar",NA
"Grid-connected solar PV plants in Togo","Solar",NA
"Ayg 1 Solar PV Plant","Solar",NA
"Mpanga 18 MW Run-of-River Hydropower Project","Hydropower",NA
"Coastal Solar Project","Solar",NA
"Ardavin Solar Park","Solar",NA
"Dicayagua Solar Park","Solar",NA
"Grid-Connected Solar PV Project in Santo Domingo Este","Solar",NA
"AMEA Power Solar Farm in Burkina Faso","Solar",NA
"Biomass Briquettes in Kenyan Manufacturing Facilities","Biomass",NA
"Biomass Briquettes in Tea Factories: Chebut Tombe Boito Itumbe Kapkoros & Tegat","Biomass",NA
"14.4 MW Bio-Mass based Co-Gen Power Plant project by Oasis group in Haryana","Biomass",NA
"CAPARISPISAN II Wind Power Project","Wind",NA
"GEAAI Biomass Power Plant (Myanmar)","Biomass",NA
"Planta Solar Fotovoltaica Cumayasa 1 y 2","Solar",NA
"Karaman Biomass-to-Energy Facility Turkey","Biomass",NA
"Oslomej Solar Power Plant","Solar",NA
"Reducing 3000000 tons of CO2 emissions over a span of 15 years by increasing the efficiency of the exploitation and use of geothermal waters in Călimănești - Căciulata Vâlcea county Romania","Geothermal",NA
"Sajoma Solar Park","Solar",NA
"Dissemination of Solar Water Heating Systems in Bolivia","Solar",NA
"Borey Energo","Wind",NA
"Energo Trust","Wind",NA
"Los Negros Solar","Solar",NA
"Bitola SPP","Solar",NA
"National Bachu Biomass Power Generation Project","Biomass","435220"
"Solar Water Heater Program in India – CPA-9","Solar",NA
"Ege Wind Farm Project","Wind","102006"
"Bundled Wind Power Project by EKI Energy Services Limited (EKIESL-CDM.April-13-02)","Wind",NA
"Girasol Solar Power Plant","Solar",NA
"CANTA WPP","Wind","162305"
"Sadilli Wind Farm Project Turkey","Wind","522727"
"Solar Power for Rural Villages in Madagascar","Solar",NA
"Sal and São Vicente Solar Project","Solar",NA
"Seferihisar 16MW Wind Power Plant","Wind",NA
"MUTLU 5 WPP","Wind",NA
"Planta Solar Fotovoltaica Payita1","Solar",NA
"Production of thermal energy from renewable biomass at Melhoramentos Papeis Ltda","Biomass","84698"
"Girasol II Solar Power Plant","Solar",NA
"Tornasol Solar Park","Solar",NA
"Esperanza II Solar Plant","Solar",NA
"Solar Water Heater Program in India – CPA-10","Solar",NA
"Uplifting communities through clean energy in the DRC","Solar",NA
"Uplifting communities through clean energy in the DRC - VPA 1","Solar",NA
"Boundiali solar power plant","Solar",NA
"Off-grid Solar Plants for Amazonian communities in Peru","Solar",NA
"Requena Hybrid Microgrid Plant","Solar",NA
"Tamshiyacu Hybrid Microgrid Plant","Solar",NA
"Micro capacity Solar Roof Top PV Installations","Solar",NA
"Jaguar Solar Farm","Solar",NA
"SOCAR HYDRO BUNDLE-3","Hydropower",NA
"Helios Solar Park","Solar",NA
"Red Sea Wind Energy Project","Wind",NA
"Planta Solar Fotovoltaica Payita2","Solar",NA
"Pamukören Geothermal Energy Power Plant","Geothermal",NA
