"project_name","type","credits_issued"
"Cururos Wind Farm Project","Wind","1046715"
"Gigawatt Global Programme of Activities","Solar",NA
"ASYV 8.5MW Solar PV Project (CPA-001)","Solar","45930"
"Solar Lighting in Rural Kenya - VPA 2","Solar","38586"
"Enercon Wind Farm (Hindustan) Ltd in Karnataka","Wind","229644"
"3 MW bundled wind Power Project in Tamil Nadu","Wind",NA
"Catalca Wind Power Project","Wind","1605790"
"*Mare Manastir Wind Farm Turkey","Wind","552372"
"*Sayalar Wind Farm Turkey","Wind","390970"
"Grid Connected Wind Power Project In Maharashtra India By Bhilwara","Wind","864761"
"*Fujian Zhangpu Liuao 45MW Wind Power Project","Wind","302076"
"*Sri Balaji 6 MW Non-Conventional Renewable Sources Biomass Power Project","Biomass","249584"
"*Ningxia Yinyi 49.50MW Wind-farm Project","Wind","163911"
"Mazı-3 30 MW Wind Power Plant Project","Wind","249785"
"Belen Wind Power Plant","Wind","856719"
"Waste to energy using biomass Gasification in South East Asia LDCs programme of activities","Biomass",NA
"Baglar Wind Power Plant Project","Wind",NA
"*SolarAid Microsolar Lanterns Project for Malawi","Solar","35"
"Guanaquitas 9.74 MW hydroelectric project","Hydropower",NA
"Zorlu Enerji Wind Project","Wind","123659"
"La Esperanza Hydroelectric Project","Hydropower","313858"
"Vaayu India Wind Power Project in Gujarat","Wind","782880"
"22.5 MW Wind Power Project in Rajasthan India","Wind","278864"
"Hilal-2 RES Wind Power Project Turkey","Wind","44317"
"100.5 MW Wind Power Project in Madhya Pradesh India","Wind","1107412"
"KM RE project","Biomass",NA
"Soma-Polat Wind Farm Project","Wind","2389959"
"Alize Camseki 20.8 MW Wind Farm Project Turkey (300209)","Wind","210246"
"Hebei Chengde Songshan Wind Farm Project in China","Wind",NA
"Hebei Shangyi Manjing East Wind Farm Project","Wind","311368"
"Hebei Shangyi Manjing West Wind Farm Project","Wind",NA
"Zhangbei Mijiagou 49.5 MW Wind Farm Project in China","Wind","160224"
"Biomass based Steam Generation plant at Chanakya Dairy Products Limited","Biomass","132846"
"Waste to energy using biomass Gasification in South East Asia LDCs programme of activities CPA-001","Biomass",NA
"Nam Sor Hydropower Project","Hydropower",NA
"Nam Ngao Hydropower Project","Hydropower",NA
"Pico Solar Home Systems Ethiopia","Solar",NA
"*Salido Kecil Mini Hydropower Plant","Hydropower","33006"
"CECIC Zhangbei Dayangzhuang Wind Farm Project","Wind","252625"
"Puringla Sazagua Small Scale Hydropower Project","Hydropower",NA
"Zinguizapa Small Scale Hydropower Project","Hydropower",NA
"Silivri WPP","Wind","647000"
"SSE1 Solar PV 1 – 10 Power Plant Project","Solar","404975"
"Orb Energy Solar Program In India - VPA01","Solar","166787"
"Orb Energy Solar Program in India (PoA)","Solar",NA
"Mampuri Wind Power Project","Wind","152030"
"Akbuk Wind Farm Project Turkey","Wind","419307"
"Silopi Micro Scale Solar PV Project","Solar",NA
"*Keltepe Wind Farm Project  Turkey","Wind","259771"
"Dares Datça Wind Farm Project Turkey","Wind","294191"
"*Burgaz Wind Farm Project Turkey","Wind","216992"
"Electricity generation from mustard crop residues: Tonk India","Biomass","514017"
"Vaayu India Wind Power Project in Tamilnadu","Wind","1078374"
"Wind Energy Project in Gujarat","Wind","976140"
"Babadere Gethermal Power Plant (GEPP)","Geothermal",NA
"Elmali Wind Power Plant (WPP)","Wind","172017"
"Wind Power Generation Project activity by Interocean Shipping India Private Limited","Wind",NA
"11.35 MW bundled renewable energy based power generation by Interocean Group","Solar","64422"
"Dora II 9.5 MWe Geothermal Energy Project (300274)","Geothermal","398336"
"*Honiton Energy Bailingmiao Phase One Windfarm Project","Wind","313499"
"Wind Power Project by M/s. Giriraj Enterprises at Sandla Madhya Pradesh","Wind",NA
"*Huadian Ningxia Ningdong Yangjiayao 45MW Wind-farm Project","Wind","182783"
"6 MW Solar Power Project by Arhyama Solar Power","Solar","20556"
"Wind Power Project by Markdata Green Energy (EKIESL-CDM.January-15-01)","Wind","154132"
"Wind Power Project in Maharashtra State India","Wind","24184"
"Solar Power Project by Fortum FinnSurya (EKIESL-CDM.February-15-01)","Solar","146545"
"Birahi Ganga Hydro Electric Project","Hydropower","76846"
"*Ningxia Yinyi 49.50MW Wind-farm Project_preCDM VERs","Wind","44501"
"100 MW Wind Power Project in Andhra Pradesh by OAWPPL","Wind","781720"
"*Fujian Zhangpu Liuao 45MW Wind Power Project_preCDM VERs","Wind","24608"
"Small-Scale hydroelectric project Quehata and Chicote Chico in Department of Cochabamba (Bolivia)","Hydropower",NA
"Orb Energy Solar Program in India - VPA02","Solar","106395"
"Vaayu India Wind Power Project in Andhra Pradesh","Wind","659515"
"Solar Water Heater Program in India-CPA-2","Solar","124303"
"Solar Water Heater Program In India-CPA-3","Solar","120801"
"Solar Water Heater Program in India CPA-4","Solar","118105"
"Karabel Wind Power Plant","Wind",NA
"Letaba Biomass to Energy Project","Biomass","10355"
"Renewable Wind Power generation for promoting energy security","Wind","104816"
"34 MW Wind Power Project at Khanapur Sangli Maharashtra India","Wind","446966"
"InfraVest Changbin and Taichung bundled Wind Farms Project - Taiwan (300190)","Wind","2917172"
"*Rotor Elektrik Uretim Osmaniye Wind Farm","Wind","2364005"
"Grid-connected Solar PV project in Méouane","Solar","206950"
"Qielong 1.2MW Hydro Power Project","Hydropower","5987"
"Sidrap Wind Farm Project Phase 1","Wind","525251"
"Nam Gion Hydropower Project","Hydropower",NA
"Yan Tann Sien Hydropower Project","Hydropower",NA
"Longhe 1.03MW Hydro Power Project","Hydropower","15602"
"Barroso 20MW hydroelectric project","Hydropower","224498"
"5MW Solar PV Power Plant by AEPL","Solar","81929"
"Bundled Wind Power Project by Peethambra Granites Pvt Ltd (EKIESL-CDM. November -11-01)","Wind","11607"
"9.5 MW wind energy based power generation by Interocean Group","Wind","28680"
"Guanbaodu 4 MW Hydro Power Project","Hydropower",NA
"Bundled Solar Power Project by Emami Power Limited","Solar",NA
"825 MW Yahyali Wind Power Project","Wind",NA
"Kartaldagi Wind Power Plant Turkey","Wind","267174"
"Wind Power Project in Madhya Pradesh by OBWPPL","Wind","501921"
"Gokdag Wind Power Plant","Wind",NA
"TIRE Wind Power Plant","Wind",NA
"Renewable energy wind power project in Rajasthan","Wind","373330"
"SOKE (AKIS) WIND POWER PLANT","Wind","375422"
"Geyve Wind Power Plant","Wind",NA
"Vaayu India Wind Power Project in Jaisalmer Rajasthan","Wind","684874"
"Ouarzazate II & III Concentrated Solar Power Project","Solar",NA
"Kemerburgaz wind farm project","Wind","163471"
"Ouarzazate I Concentrated Solar Power Project","Solar",NA
"Honiton Energy Bailingmiao Phase Two Windfarm Project","Wind","204021"
"15 MW Wind Power Project by RSPL Ltd (EKIESL-CDM-May-16-04)","Wind","58004"
"Renewable Energy Project by Pramatha Power Pvt. Ltd. Goa (EKIESL- CDM. April 16-04)","Solar",NA
"Jbel Sendouq-Khalladi (""Khalladi"") wind farm project in Morocco","Wind","316720"
"Hebei Shangyi Manjing West Wind Farm VER Project","Wind","74562"
"CECIC Zhangbei Dayangzhuang Wind Farm pre-CDM VER Project","Wind","32826"
"Diyao 1MW Hydro Power Project","Hydropower","15468"
"Solar Power Project in Rajasthan","Solar","202492"
"Grid-connected Solar PV project in Mérina Dakhar","Solar","198840"
"Bergres Wind Power Project","Wind","756128"
"Bundled Wind Power Project by Woodside Fashions Limited & Group (EKIESL-CDM.June-16-01)","Wind","40134"
"EBER WPP","Wind","265101"
"Guohua Tongliao Kezuo Zhongqi Phase II 49.5 MW Wind Farm Project","Wind",NA
"M-KOPA Solar Lighting PoA","Solar",NA
"GS5304 MKOPA Solar Lighting Programme of Activities - Kenya VPA 1","Solar","310563"
"GS5304 MKOPA Solar Lighting Programme of Activities - Uganda VPA 2","Solar","73042"
"GS5304 MKOPA Solar Lighting Programme of Activities – Tanzania VPA 3","Solar",NA
"GS5304 MKOPA Solar Lighting Programme of Activities – Kenya VPA 4","Solar","207704"
"15 MW Solar Photovoltaic Power Project at Gujarat","Solar","70107"
"Qinghai Delingha Xiehe Solar PV Power Generation Project (GS3341 Conversion CER to VER)","Solar","123692"
"Hunan Luantang 1 MW Hydro Power Project","Hydropower","6440"
"Gansu Nanyangshan 1.26MW Hydro Power Project","Hydropower","22065"
"70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01)","Solar","1064320"
"Solar Power Project by Fortum FinnSurya Energy Pvt Ltd","Solar","1203309"
"EDREMIT GEOTHERMAL SPACE HEATING PROJECT","Geothermal",NA
"Shri Bajrang RE Project","Biomass",NA
"Gansu Anxi Wind Farm Project 100.5 MW","Wind","848493"
"Solentegre Solar Power Project","Solar","23977"
"20 MW Solar Project in Sanwreej Jodhpur Rajasthan","Solar","120096"
"0.75 MW Kerala Wind Power Project","Wind","4864"
"100.8 MW Wind Power Project in Beluguppa Andhra Pradesh","Wind","1168564"
"Renewable Power Project by PGPL","Wind",NA
"14.70 MW Wind Power Project at Jath Maharashtra","Wind","130453"
"14.7 MW Bundled Wind Power Project in the state of Maharashtra and Rajasthan India","Wind","177209"
"Bundled 9.00 MW Wind Power Generation Project by Gangadhar Narsingdas Agrawal Group","Wind",NA
"Bundled 9.00 MW wind power Generation project in Rajasthan India by M/s. Gangadhar Narsingdas Agrawal Group","Wind","105556"
"Orb Energy Solar Program in India - VPA03","Solar","103094"
"Bundled 15 MW Wind Power Project in India","Wind",NA
"Varahi Tail Race Small Hydro Power Project of SPCL in Karnataka","Hydropower",NA
"Prony and Kafeate wind-farms New Caledonia (300344)","Wind","507905"
"Amayo 40 MW Wind Power Project – Nicaragua","Wind","1162802"
"Renewable Energy Power project by DDWL","Wind","63911"
"40 MW Wind Power Project at Maliya Gujarat","Wind","439824"
"30 MW Solar PV Project by Nirosha Solar Power Private Limited","Solar","194740"
"Cataltepe 16MW Wind Farm Project Turkey","Wind","62957"
"Poyraz 54.9 MW Wind Farm Project Turkey","Wind",NA
"Kuyucak 25.6 MW Wind Farm Project Turkey","Wind","148645"
"Sarikaya 28.8 MW Wind Farm Project Turkey","Wind","209625"
"Seyitali 30 MW Wind Farm Project Turkey","Wind","111719"
"Samurlu 30 MW Wind Farm Project Turkey","Wind",NA
"Wind Power Project in Karnataka by OMWPL","Wind","693652"
"Kozbeyli 30 MW Wind Farm Project Turkey","Wind",NA
"9.75 MW Bundled Wind Power Project in Kerala India","Wind",NA
"Renewable Power Project by Emami Power Ltd","Solar","196285"
"Grid Connected Bundled Wind Power Project in Karnataka and Maharashtra","Wind","46142"
"Nam Kap Hydropower Project","Hydropower",NA
"The Converging World Renewable Energy India Wind Farm","Wind",NA
"Baragran Hydro Electric Project 3.0 MW (being expanded to 4.9 MW)","Hydropower","173611"
"40 MW Orange Charanka Solar Power Project in Gujarat India","Solar","447299"
"Renewable Energy Project by Panama Solar Energy Pvt. Ltd.","Solar",NA
"Solar and Wind Project by Agrawal Renewable Energy Pvt. Ltd.","Wind",NA
"24MW Dummagudem Hydel Project by SLS Power Corporation Limited","Hydropower",NA
"ALTACA MERAM BIOGAS PLANT","Biomass",NA
"Campion II Mini Hydro Power project","Hydropower","5538"
"2x50 MW Orange Suvaan Solar Photovoltaic Power Project in Maharashtra India","Solar","1059494"
"Bokpoort CSP (Concentrating Solar Power) Project South Africa","Solar",NA
"Kocatepe Wind Power Plant Turkey","Wind",NA
"GHG abatement through Solar Power Generation at Jaisalmer Rajasthan India","Solar","31621"
"Wind Power Project in Tinwari Rajasthan","Wind","262565"
"Kores Kocadag Wind Power Project Turkey","Wind","530802"
"Nam Hinboun Downstream Hydro power Project","Hydropower",NA
"Wind Power Project by Mangalam Fashions Limited & Group in Andhra Pradesh","Wind",NA
"The Distributed PV Power Generation Micro-scale PoA in Taiwan(VPA01)","Solar",NA
"The Distributed PV Power Generation Micro-scale PoA in Taiwan","Solar",NA
"Adavikanda Kuruwita Division Mini Hydro Power Project","Hydropower","14802"
"The 2nd 45MW Wind-farm project of Huadian Ningxia Ningdong Yangjiayao","Wind","49420"
"GEYCEK Wind Farm Project","Wind","952458"
"Bahawalpur Solar Power Plant Project","Solar",NA
"Turguttepe 24 MW Wind Power Project Turkey","Wind",NA
"InfraVest Guanyin Wind Farm Project - Taiwan","Wind","874697"
"Solar Water Heater Program in India CPA-5","Solar","74560"
"*Huadian Ningxia Ningdong Yangjiayao 45MW Wind-farm Project preCDM VERs","Wind","22823"
"Ziyaret Wind Power Project Turkey","Wind","1549197"
"Yalnizca 14.835 MW run-of-river hydropower project","Hydropower",NA
"Honiton Energy Xiwu Phase One Wind Farm Project","Wind",NA
"GUABIRA ENERGÍA Bagasse Cogeneration Project","Biomass",NA
"19.2 MWp Solar Power Project by HZL at Debari and Dariba Rajasthan","Solar","58096"
"*PRE_CDM VER Tonk Biomass Project India","Biomass","40146"
"Solar Lights and Solar Home Systems for Lesotho","Solar",NA
"Renoe Acipayam Solar Power Plant","Solar","50480"
"200 MW Wind Power Project in Tamil Nadu by Orange Sironj","Wind","1523227"
"16.7 MW HAMZALI Hydroelectric Power Plant","Hydropower","453068"
"AY-YILDIZ 15 MW WPP","Wind","167191"
"Selimoglu 9.3 MW HPP","Hydropower","39355"
"Solar Water Heater Program in India-CPA-6","Solar","100825"
"GUNAYSE  HPP","Hydropower","48379"
"KALE HPP","Hydropower","28785"
"KronoClimate","Biomass","477710"
"Hamal Solar Power Project","Solar","36861"
"Bulam 7MW HEPP","Hydropower","76466"
"16.00 MW RESADIYE-I Hydro Electric Power Plant","Hydropower",NA
"RESADIYE-II 26.68 MW HYDROELECTRIC POWER PLANT","Hydropower",NA
"RESADIYE III HEPP","Hydropower",NA
"Energy for Mam Rashan","Solar","1830"
"Wind Energy Project in Gujarat (GS4426 CER to VER conversion)","Wind","143994"
"PNG Biomass Markham Valley Energy project","Biomass",NA
"YAVUZ HEPP","Hydropower",NA
"Söke-Çatalbük 30 MW Wind Power Project Turkey","Wind","82525"
"Soma Wind Power Plant","Wind","419984"
"Corum Solar Power Plant Project","Solar","38090"
"Solar thermal power plant by Godawari Green Energy Limited (GS3429 CER to VER conversion)","Solar","16806"
"Biomass based power project of VPL","Biomass","213685"
"ARALIK HEPP","Hydropower","77956"
"Düzova Wind Power Project Turkey","Wind","829291"
"52.50 MW Wind energy farm at Mokla Rajasthan by HZL","Wind","365994"
"25.5 MW Wind Energy Farm at Nandurbar Maharashtra by HZL","Wind","351512"
"CECIC HKC Danjinghe Wind Farm Project","Wind","1722989"
"30 MW Wind Energy Project by Giriraj Enterprises","Wind","198449"
"10 MW Biomass Power Project in Amreli District Gujarat India","Biomass",NA
"Guttigoli Solar Power Project in Karnataka","Solar","688307"
"Taspinar Wind Power Project","Wind","289059"
"Bandirma-3 WPP","Wind","567657"
"50 MW Solar Power Project by Mytrah Energy India Private Limited","Solar","71348"
"5.10 MW Wind Power Project by Shyam Metalics & Energy Limited in Maharashtra India","Wind","5635"
"Wind power project by HZL in Gujarat.","Wind","665193"
"Wind power project by HZL in Karnataka","Wind","193719"
"27.3 MW Wind energy farm at Mokla Rajasthan by HZL","Wind","200437"
"9 MW Wind Energy Farm at Jodhpur Rajasthan by HZL","Wind","44008"
"15 MW Wind energy farm at Gopalpura Karnataka by HZL","Wind","76460"
"21 MW Wind energy farm at Palladam TamilNadu by HZL","Wind","125706"
"Jilin Huaneng Zhenlai Mali Wind Power Project","Wind","219785"
"GS688-SUEN East Turkey Hydro PoA in Turkey","Hydropower",NA
"Solar Parks Aruba","Solar",NA
"Orb Energy Solar Project India","Solar","45089"
"21 MW Wind Energy Project by Shree Cement Limited","Wind","122383"
"Namene Solar Light Company: Solar Lighting Project Zambia 1","Solar","37396"
"Boreas-1 Enez Wind Power Plant","Wind","232608"
"400 MW Solar Power Project at Bhadla Rajasthan","Solar","3451003"
"216 MWac Adani Green Energy (Tamilnadu) Solar Power Project","Solar",NA
"72 MWac Kamuthi Renewable Energy Project","Solar",NA
"72 MWac Ramnad Solar Power Project","Solar",NA
"BASMAKCI BIOGAS POWER PLANT PROJECT","Biomass",NA
"TATLIPINAR WIND POWER PLANT","Wind","451167"
"24 MW wind power project in Tamil Nadu India","Wind",NA
"50 MW Mahoba Solar PV Power Project by M/s Prayatna Developers Pvt. Ltd. at Mahoba UP","Solar",NA
"50 MW Kurnool Solar PV Power Project by M/s Prayatna Developers Pvt. Ltd. at Gani Kurnool AP.","Solar",NA
"50 MW (DCR) Nalgonda Solar PV Power Project by Parampujya Solar Energy at Telangana","Solar",NA
"Solar Project by Parampujya Solar Energy Pvt. Ltd.","Solar",NA
"SAKARYA BIOGAS POWER PLANT","Biomass",NA
"252 MW Wind Energy Project by Green Infra Wind Energy Limited","Wind","2554325"
"Chanju I Hydro Electric Project","Hydropower",NA
"72 MW Wind power project in the South Sulawesi Province of Indonesia","Wind","359070"
"Berke Regulator and Hydro Electric Power Plant Turkey","Hydropower",NA
"Lake Turkana 310MW Wind Power Project","Wind",NA
"Kayabuku HEPP","Hydropower","27075"
"Selale HEPP","Hydropower",NA
"Sayan 14.896 MWe Small Scale Power Project Turkey","Hydropower","90084"
"Şenbük Wind Power Project Turkey","Wind","292152"
"Aliaga Wind Farm","Wind","471073"
"Gümüþköy 13.2 MW Geothermal Power Project Turkey","Geothermal",NA
"20 MW Solar Project in Sanwreej Jodhpur Rajasthan- Pre CDM Clone","Solar","50801"
"Thangarabalu Small Hydel Project at Karnataka","Hydropower",NA
"Pirincli HEPP","Hydropower",NA
"60 MW Bandirma Wind Power Plant Project","Wind","759645"
"Solar DC programme in off-grid regions in India","Solar","113298"
"300 MW Wind Energy Project by Green Infra Wind Energy Limited","Wind","2670780"
"50.6 MW Wind Energy Project by Powerica Limited","Wind","487008"
"Daðdelen Weir and Hydro Power Plant","Hydropower",NA
"ORLEMIS WPP","Wind","112859"
"2.1 MW Wind Project of Colourtex Industries Ltd. at Kutch district in Gujarat state India","Wind",NA
"Erzurum Aziziye Solar Power Plant","Solar","62935"
"SERTAVUL WPP","Wind",NA
"6.5 MW cogeneration project in Akbarpur Punjab","Biomass",NA
"Orb Energy Solar Program in India - VPA04","Solar","70013"
"Orb Energy Solar Program in India - VPA05","Solar","60436"
"BIM Solar Farm","Solar","1814182"
"BMT Solar Farm","Solar","133408"
"IBB Waste Incineration and Power Generation Plant Project","Biomass",NA
"Mersin Wind Farm Project","Wind","1000147"
"200 MW solar power project in India by SB Energy.","Solar","1462947"
"100 MW Solar Power plant in Maharashtra","Solar","780762"
"250 MW Solar Power Plant in Pavagada Solar Park in Karnataka","Solar","1614600"
"10MW Solar Power Project (EnvironmentFirst-213)","Solar","43140"
"Agrahara Mini Hydel Scheme – I & II","Hydropower",NA
"Energising India using Solar Energy","Solar","1529039"
"22 MW Solar Power Project by HZL at Rampura agucha Mine  Rajasthan","Solar",NA
"Bundled Solar Project 1 by Aditya Birla Group of Companies","Solar","298871"
"Biomass based power plant in Mahendargarh Haryana","Biomass","58030"
"Bundled Solar Project 2 by Aditya Birla Group of Companies","Solar","112583"
"Egemen 19.92 MW Run-off-river HEPP","Hydropower",NA
"Chaiyaphum Wind Farm Power Project","Wind","139728"
"AMI Khanh Hoa Solar Project","Solar","209421"
"Dren Wind Power Project","Wind",NA
"42 MWp Bundled Solar Photovoltaic Power project in Indonesia","Solar","85939"
"Solar PV power project by Roha Dyechem Pvt. Ltd. (EKIESL.CDM.Aug-11-02)","Solar",NA
"4.80 MW renewable energy project by Aleo Manali Hydropower Pvt. Ltd.","Hydropower",NA
"120 MW Solar PV Plant by Juniper Green Sigma Private Ltd. in Gujarat","Solar","851071"
"Toliara PV Plant","Solar","6626"
"SolarAce1 Energy Project","Solar","164721"
"NorthWind Bangui Bay Project","Wind",NA
"Wind Power Project in Rajasthan by RSPL Limited","Wind",NA
"9.6 MW Wind Energy Project at Jamvadi & Navagam & Kalavad Jamnagar Gujarat India of Rohit Surfactants Pvt. Ltd.","Wind",NA
"ROHIT SURFACTANTS PVT.LTD- 10.5 MW Wind Project Tamil Nadu","Wind",NA
"Solar Water Heater Program in India- ""CPA-7""","Solar","40896"
"0.85 MW x 2 Wind Turbine Generator project","Wind",NA
"Wind based power project in Maharashtra by Siddhayu Ayurvedic Research Foundation Pvt. Ltd.","Wind","45213"
"MRMPL Wind Power Project.","Wind","35268"
"Solar PV Power project in Barmer Rajasthan.","Solar","276458"
"Renewable Power Project by the Kiran Group (EKIESL- CDM. September 15-02)","Solar",NA
"50.6 MW Wind Power Project at Umrali Gujarat by Powerica Limited","Wind","319392"
"50.6 MW Wind Power Project in Gujarat by Powerica Limited","Wind",NA
"Caypinar Wind Farm Project Turkey","Wind",NA
"Rural electrification program Madagascar","Solar","350"
"200 MW Solar PV Plant by Mahindra Susten in Rajasthan","Solar",NA
"250 MW Solar PV Plant by Mega Suryaurja in Rajasthan","Solar",NA
"150 MW Solar PV Plant by Juniper Green Field Pvt. Ltd. in Maharashtra","Solar","414053"
"Wind farm at Lalpur Gujarat","Wind","329164"
"Wind power project in Madhya Pradesh (2) India","Wind","270342"
"Wind energy project by KWEPL - 1","Wind","163511"
"Wind project by LWEPL-2","Wind","103497"
"Wind power project in Gujarat by Kaze Energy Limited","Wind","301937"
"Wind power project in Ratlam MP","Wind","393122"
"Solar Thermal Power project at Kutcch District in Gujarat","Solar",NA
"CANDARLI WPP","Wind",NA
"OMERLI WPP","Wind",NA
"BK Energia Itacoatiara Project","Biomass","472891"
"Tayakadın Wind Power Project Turkey","Wind",NA
"7 MW Bundled Hydro power project at Himachal Pradesh of Raajratna Energy Holdings Pvt. Ltd","Hydropower",NA
"250 MW Solar PV Plant by Mahindra Renewables in Rajasthan","Solar",NA
"Greenhouse Gas Emission Reductions Through Thermal Solar Power Technology - Rajasthan Sun Technique Energy Pvt. Ltd","Solar","95845"
"Jeori Hydro-Electric Project","Hydropower","49701"
"Wind energy project by KWEPL - 3","Wind",NA
"Greenhouse Gas Emission Reductions Through Wind Energy Technology - Reliance Clean Power Pvt. Ltd.","Wind",NA
"Greenhouse Gas Emission Reductions Through Photovoltaic Technology - Dahanu Solar Power Pvt. Ltd.","Solar",NA
"300 MW Wind Power Project by SITAC Kabini in Gujarat","Wind",NA
"Wind Power Project in Tamil Nadu India","Wind","17512"
"10MW biomass power plant at Sangli by Sinewave Power","Biomass",NA
"Biomass based cogeneration project at Bhagwati Vintrade Ramgarh Jharkhand India","Biomass",NA
"Baner Sangam small hydro power project","Hydropower",NA
"Emission free electricity generation at Harihar Karnataka","Wind",NA
"Wind Power Project by RKLPL (EKIESL-CDM.September -11-01)","Wind",NA
"GREEN ENERGY TO GRID at Dhule Maharashtra","Wind",NA
"Wind Energy Project at Jaisalmer district Rajasthan by Enn Enn Corp Limited","Wind","7924"
"250 MW Solar Power project by SB Energy","Solar",NA
"200 MW Solar Power project by SB Energy at Pavagada Karnataka","Solar",NA
"600 MW Solar PV Plant by SB Energy in Rajasthan","Solar",NA
"Hybrid (Solar+Wind) Power project by SBE Renewables Rajasthan","Solar",NA
"300 MW Solar PV Plant by SBSR Power Cleantech in Rajasthan","Solar",NA
"250 MW Solar Power project at Kadapa by SB Energy","Solar",NA
"Wind Power Project by SBESS Wind in Madhya Pradesh","Wind",NA
"180 MW Renewable Energy Project by Greenko Group","Solar","299414"
"330 MW Solar Power project in Rajasthan by SB Energy","Solar",NA
"300 MW Solar PV Plant at Bhadla Rajasthan","Solar","1920254"
"250 MW Solar PV Plant at Bhainsada Rajasthan","Solar","324518"
"GS5304 MKOPA Solar Lighting Programme of Activities - Kenya VPA 5 by Natural Capital Partners","Solar",NA
"GS5304 MKOPA Solar Lighting Programme of Activities - Kenya VPA 6 by Natural Capital Partners by Natural Capital Partners","Solar",NA
"Kartal Wind Power Project","Wind","124496"
"Kuyulukoyak WIND POWER PLANT","Wind","40411"
"ÇAMINBAŞI WPP","Wind",NA
"Parque de los Llanos umbrella project","Solar","24982"
"West Bakr Wind Farm Project","Wind","983667"
"Akyel-1 WPP","Wind",NA
"Gazi-9 WPP","Wind",NA
"Güney-1 WPP","Wind",NA
"Akyel-2 WPP","Wind",NA
"West Huaybong 2 wind farm project","Wind","158840"
"300 MW Wind Power Project in Gujarat by Alfanar Power","Wind","1125127"
"West Huaybong 3 wind farm project","Wind","191319"
"Bundled Solar project by Amplus Solar","Solar",NA
"Bundled Solar project by Atria Power","Solar",NA
"75 MW Mirzapur Solar Power Project","Solar",NA
"96.8 MW Wind Power Project in Amreli Gujarat","Wind",NA
"75 MW Neo Solar Power Project","Solar",NA
"300 MW Wind Power Project in Gujarat by Netra Wind Private Limited","Wind",NA
"Tuppadahalli Wind Energy Project","Wind","323794"
"Wind Energy Project in Gujarat by Enn Enn Corp Limited","Wind",NA
"13.3 MW grid connected bundled wind electricity generation project at Rajasthan and Karnataka India","Wind",NA
"13.75 MW wind power project at Bellary & Davangere district in the state Karnataka India","Wind",NA
"30 MW wind power project at Surajbari Gujarat in India","Wind",NA
"Clean Electricity Generation by Solar Power Project in Rajasthan","Solar","373076"
"250 MW Solar Power Project by Clean Solar Power Jodhpur Pvt. Ltd","Solar",NA
"27 MWp Solar PV Project by MH Technique Solaire India Private Limited","Solar","61482"
"10.4 MW wind power project at Tiwari site of Jodhpur district in the state of Rajasthan India","Wind",NA
"ARISU SOLAR POWER PLANT","Solar",NA
"Tire Biogas Power Plant","Biomass",NA
"Namene Solar Light Company: Replacing Kerosene lights and paraffin candles by solar lights in Namibia","Solar","11664"
"37.95 MW Wind power project in Bharmasagar Karnataka by BPEIPL","Wind",NA
"24 MW wind power project in Tamil Nadu India","Wind",NA
"23.1 MW Wind power project in Telagi Karnataka","Wind",NA
"Wind power project in Maharashtra by TVS Energy Limited","Wind",NA
"Wind energy project in Theni Tamil Nadu","Wind",NA
"Wind power project by TVS Energy Limited in Theni Tamil Nadu","Wind",NA
"10 MW Solar Photovoltaic Power Plant in Rajkot Gujarat (India)","Solar",NA
"5 MW Solar Photovoltaic based Power Generation in Jodhpur Rajasthan","Solar",NA
"Wind power project in Tirunelveli Tamil Nadu by TVS Energy Limited","Wind",NA
"Bundled wind power project in the state of Gujarat","Wind",NA
"15 MW wind power project by Green Infra Wind Energy Assets Ltd","Wind",NA
"24 MW Wind Energy based Power Generation In Theni Tamil Nadu","Wind",NA
"50 MW Solar PV Project by Sembcorp Green Infra Limited","Solar",NA
"Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited (SECI-1)","Wind",NA
"ANTALYA Solar Power Plant","Solar",NA
"Saros Wind Power Plant","Wind","592359"
"GS688 SUEN East Turkey Hydro PoA- Cevher I 9.295 MW HEPP in Turkey","Hydropower",NA
"GS688 SUEN East Turkey Hydro PoA- Cevher II 7.084 MW HEPP in Turkey","Hydropower",NA
"Ekincik Weir and Hydroelectric Power Plant","Hydropower",NA
"GS790_Sustainable Small Hydropower Programme of Activities (PoA) in Indonesia (300218)","Hydropower",NA
"Clean Energy One Biomass Power Plant Project (300548)","Biomass",NA
"GS790_Sustainable Small Hydropower Programme of Activities (PoA) - CPA Manggani Hydroelectric Project Pre-CDM VER","Hydropower",NA
"Clean Energy One Biomass Power Plant Project (300548)_pre-CDM VER","Biomass",NA
"Ayranly  Hydroelectric Power Plant","Hydropower",NA
"DINC HEPP","Hydropower",NA
"Wind Park Vader Piet Aruba","Wind","1075844"
"GS790_Sustainable Small Hydropower PoA - 1.1 MW Manggani Mini Hydroelectric Project West Sumatera Indonesia (300469)","Hydropower",NA
"Biomass based power project in Punjab India","Biomass",NA
"Amayo Phase II Wind Power Project","Wind","580138"
"Hasanlar HEPP","Hydropower",NA
"Hunan Guanbaodu-Liangjiangkou Small-scale Hydropower Bundle Project","Hydropower","219666"
"Amayo 40 MW Wind Power Project-Nicaragua - Pre CDM VERs","Wind","11429"
