"project_name","scope","credits_issued"
"Hudson Tech 2023-3","Supply Chain","29969"
"True Manufacturing FBA Project 002C","Supply Chain",NA
"FF HFC 23-01","Supply Chain","32691"
"ARS 007B (Canada)","Supply Chain",NA
"Advanced Refrigeration - ARS2023003","Supply Chain","9507"
"NativState - Bottomland Forests of the Mississippi Alluvial Plain (PDA)","Reforestation",NA
"NativState - Mixed Broadleaf Forests of the Ozark Central Hills and Plateau (PDA)","Reforestation",NA
"NativState - Mixed Broadleaf Forests of the Western Tennessee Plains to the Highland Rim (PDA)","Reforestation",NA
"Hood River County Tree Farm","Reforestation",NA
"Zefiro Methane OOG 1 - Drake","Supply Chain",NA
"A-Gas 3-2023","Supply Chain",NA
"HRC Oak Meadows IFM","Reforestation",NA
"Shumaker IFM Project","Reforestation",NA
"Easthaven IFM Project","Reforestation",NA
"Heartland Methane Abatement and Land Restoration Project 2","Supply Chain",NA
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2021","Supply Chain",NA
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2021(B)","Supply Chain",NA
"Perennial CMM CMB8-6 Flare Project","Supply Chain",NA
"A-Gas V16","Supply Chain","1538940"
"Foam Blowing Agent Project 001-2023","Supply Chain",NA
"Foam Blowing Agent Project 004-2023","Supply Chain",NA
"Spray Foam Omega 2023","Supply Chain",NA
"Spray Foam Omega 2023C","Supply Chain",NA
"Crbon Labs Plugging of Orphaned Wells V1","Supply Chain",NA
"A-Gas South Korea 3","Supply Chain","74143"
"The Shamrock Ranch Sustainable Forestry Project","Reforestation",NA
"Raleigh County Landfill - New River Gas Well Expansion Project","Supply Chain",NA
"HT HFC Reclamation Project Champaign 2023","Supply Chain","1198824"
"HT HFC Reclamation Project Ontario 2023","Supply Chain","144031"
"Whirlpool HFO Amana 994","Supply Chain",NA
"Whirlpool HFO Ottawa 995","Supply Chain",NA
"Whirlpool HFO Ramos 996","Supply Chain",NA
"Whirlpool HFO Supsa 997","Supply Chain",NA
"Whirlpool HFO Amana 998","Supply Chain",NA
"Whirlpool HFO Ottawa 999","Supply Chain",NA
"EOS ARB ODS 2013-5","Supply Chain","126155"
"Alliance Dairies","Supply Chain","9092"
"Ideal Family Farms Digester Project","Supply Chain","44622"
"DPC Domestic ODS Destruction Project #13","Supply Chain","53490"
"Finite Carbon - Berry Summit","Reforestation","239205"
"Hilt Forest Carbon Project","Reforestation",NA
"Maple Leaf Dairy West","Supply Chain","20464"
"Washington Beef LLC Greenhouse Gas and Solids Reduction Project","Supply Chain","213283"
"Threemile Canyon Farm Digester Project","Supply Chain","107781"
"The van Eck Forest","Reforestation","328027"
"WTE-Dallmann, LLC","Supply Chain","8642"
"A-GAS RemTec 2013-1","Supply Chain","93055"
"DPC Domestic ODS Destruction Project #14","Supply Chain","23276"
"Buckeye Forest Project","Reforestation","913550"
"Storms Hog Power, LLC","Supply Chain","17339"
"Rips Redwoods","Reforestation","163615"
"DPC Domestic ODS Destruction Project #15","Supply Chain","46275"
"GEC Organics","Supply Chain",NA
"LA PERSEVERANCIA BIOGAS PLANT","Supply Chain","62745"
"Garcia River Forest","Reforestation","1747048"
"EOS ARB ODS 2013-8","Supply Chain","67490"
"New Energy One Livestock Project","Supply Chain","226281"
"Coolgas ODS 2013 Project #1","Supply Chain","108627"
"DPC Domestic ODS Destruction Project #16","Supply Chain","24874"
"EOS ARB ODS 2014-2","Supply Chain","33214"
"Rentech Nitrogen, LLC - Nitric Acid Plant 2","Supply Chain","1340034"
"Finite Carbon - Lyme GLS","Reforestation",NA
"ECC ODS Destruction 11-2013","Supply Chain","113438"
"Virginia Highlands I","Reforestation","333301"
"Sunny Knoll Farms Anaerobic Digester","Supply Chain","30979"
"Scenic View Dairy Methane Reduction Project","Supply Chain","161083"
"Brook View Dairy Methane Reduction Project","Supply Chain","153757"
"SPI Wildfire Reforestation Project #2","Reforestation",NA
"Sacramento Canyon ARB001","Reforestation","652903"
"SPI Wildfire Reforestation Project #3","Reforestation",NA
"SPI Wildfire Reforestation Project #5","Reforestation",NA
"Trinity Timberlands University Hill Improved Forest Management Project","Reforestation","685099"
"DPC Domestic ODS Destruction Project #17","Supply Chain","30587"
"Pagel's Ponderosa Dairy Methane Reduction Project","Supply Chain","70109"
"Lawton GCCS","Supply Chain","379823"
"A-GAS RemTec 2013-4","Supply Chain","191960"
"T&M Bos Dairy","Supply Chain","66275"
"T&M Herrema Dairy","Supply Chain","64763"
"T&M Hidden View Dairy","Supply Chain","68940"
"T&M Windy Ridge Dairy","Supply Chain","129777"
"DPC Domestic ODS Destruction Project #19","Supply Chain","99696"
"Finite Carbon - Shannondale Tree Farm","Reforestation","23852"
"Farm Cove Community Forest","Reforestation","145507"
"Van-Erk Dairy Digester Project","Supply Chain","10037"
"ABEC New Hope LLC","Supply Chain","4978"
"Buck Mountain ARB002","Reforestation","312705"
"Sustainable Mountain IFM","Reforestation","3509"
"ECC ODS Destruction 2-2014","Supply Chain","126314"
"A-GAS RemTec 2013-5","Supply Chain","129099"
"Phase 1 Sustainable Forest Project","Reforestation","597932"
"DPC Domestic ODS Destruction Project #20","Supply Chain","17848"
"A-GAS RemTec 2014-1","Supply Chain","129838"
"EOS CAR 1074","Supply Chain","57134"
"EOS CAR 1075","Supply Chain",NA
"CSE Arizona Facility","Supply Chain","105788"
"Linde","Supply Chain","2975"
"Stotz Southern Generation","Supply Chain","117648"
"George DeRuyter and Sons Dairy Methane Reduction Project","Supply Chain","45849"
"Roeslein Alternative Energy of Missouri, LLC - Valley View","Supply Chain","32105"
"Qualco Energy","Supply Chain",NA
"Roeslein Alternative Energy of Missouri, LLC - South Meadow","Supply Chain","99299"
"Roeslein Alternative Energy of Missouri, LLC - Ruckman","Supply Chain","3968"
"Finite Carbon - Potlatch Moro Big Pine CE IFM","Reforestation","134786"
"DPC Domestic ODS Destruction Project #21","Supply Chain","128161"
"Finite Carbon - JTO Champion Property IFM","Reforestation","919144"
"A-GAS RemTec 2014-2","Supply Chain","107744"
"Big Bend","Reforestation",NA
"Dry Burney","Reforestation",NA
"Big Valley","Reforestation","42097"
"A-GAS RemTec 2014-3","Supply Chain","148331"
"Ashford III","Reforestation","49401"
"Brushy Mountain","Reforestation","1780162"
"Lenz Composting","Supply Chain","123545"
"Dairy Dreams Methane Reduction Project","Supply Chain","65369"
"Garcia River Forest - ARB","Reforestation","958690"
"Gualala River Forest - ARB","Reforestation","513078"
"Big River / Salmon Creek Forests - ARB","Reforestation","470832"
"Vander Haak Dairy COP","Supply Chain","9199"
"Montesol - Forest Carbon Partners Improved Forest Management Project","Reforestation","191842"
"Forest Carbon Partners -- Glass Ranch Improved Forest Management Project","Reforestation","235098"
"Forest Carbon Partners-Gabrych Ranch Improved Forest Management Project","Reforestation","254838"
"American Soda LLC Waste Mine Methane Project","Supply Chain","2341211"
"Green Valley Dairy Methane Reduction Project","Supply Chain","130138"
"Pacific Rim Dairy Digester","Supply Chain","88654"
"Green Assets – Woodlands Nature Reserve Avoided Conversion Project","Reforestation","237727"
"Backbone","Reforestation","181599"
"Marble Creek","Reforestation",NA
"Bowman Lake","Reforestation",NA
"Bull Creek","Reforestation",NA
"Crane Valley","Reforestation","287551"
"Fall River","Reforestation",NA
"Griswold","Reforestation",NA
"Ninemile","Reforestation",NA
"South Trinity Divide","Reforestation",NA
"Tahoe Westcentral","Reforestation",NA
"Fair Oaks Dairy Farm LLC GHD-Designed Digester","Supply Chain","212042"
"Fair Oaks Dairy Farm LLC Cyclus-Designed Digester","Supply Chain","7421"
"Bridgewater Dairy, LLC","Supply Chain","68510"
"Central Sands Dairy, LLC","Supply Chain","74829"
"Willow Point Dairy, LLC","Supply Chain","125652"
"Riverview Farm Anaerobic Digester Project","Supply Chain","36268"
"West River Farm Anaerobic Digester Project","Supply Chain","60461"
"District 45 Dairy","Supply Chain","59593"
"Farm Power Lynden Anaerobic Digester","Supply Chain","57837"
"Finite Carbon - NEFF Hersey Mountain","Reforestation",NA
"Finite Carbon - Lyme Brimstone Timberlands IFM","Reforestation","114923"
"OHE DM4-3","Supply Chain","61310"
"OHE DM2-1","Supply Chain","34578"
"Finite Carbon - Brosnan Forest","Reforestation","22953"
"Grotegut Dairy Farm, Inc","Supply Chain","49058"
"CalBio ORRD Project","Supply Chain","220747"
"Patterson Farms COP","Supply Chain","18283"
"Sunnyside Farms COP","Supply Chain","288742"
"Usal Redwood Forest - IFM","Reforestation","1842069"
"Willits Woods IFM","Reforestation","739522"
"Van Eck Forest","Reforestation","50337"
"Fiscalini Farms Anaerobic Digester","Supply Chain","20575"
"WTE-Dallmann, LLC","Supply Chain","92661"
"EOS CAR 1144","Supply Chain",NA
"Storms Hog Power, LLC","Supply Chain","92344"
"Vanderhyde Dairy","Supply Chain","26642"
"Virginia Conservation Forestry Program - Tazewell - Elk Garden","Reforestation","201819"
"Cottonwood Dairy Livestock Gas Capture Project","Supply Chain","70455"
"Aurora Ridge Dairy","Supply Chain","118818"
"Holsum Elm Dairy","Supply Chain","67274"
"Holsum Irish Dairy","Supply Chain","82818"
"Maple Leaf Dairy West","Supply Chain","64438"
"Maple Leaf Dairy East","Supply Chain","22936"
"WestPoint Dairy Digester","Supply Chain",NA
"Whitesides Dairy Digester","Supply Chain",NA
"Virginia Conservation Forestry Program - Rich Mountain","Reforestation","117726"
"Virginia Conservation Forestry Program - Clifton Farm","Reforestation","68755"
"SIG Carbon– Northeast Wilderness Trust – Howland Research Forest","Reforestation","11249"
"SIG Carbon - Northeast Wilderness Trust - Alder Stream Preserve","Reforestation","7421"
"SPI Wildfire Reforestation Project #1","Reforestation",NA
"SPI Wildfire Reforestation Project #2","Reforestation",NA
"SPI Wildfire Reforestation Project #3","Reforestation",NA
"SPI Wildfire Reforestation Project #4","Reforestation",NA
"SPI Wildfire Reforestation Project #5","Reforestation",NA
"SPI Wildfire Reforestation Project #6","Reforestation",NA
"TMF Biofuels Dairy Digester","Supply Chain","238326"
"A-GAS Americas 2015-1","Supply Chain","134418"
"DPC Domestic ODS Destruction Project #22","Supply Chain","130995"
"Forest Carbon Partners - Berea College Improved Forest Management Project","Reforestation","349292"
"Forest Carbon Partners -- Eddie Ranch Improved Forest Management Project","Reforestation","226960"
"Finite Carbon - Passamaquoddy Tribe IFM","Reforestation","4015098"
"Finite Carbon - Lyme Cross City IFM","Reforestation",NA
"Pixley Biogas, LLC","Supply Chain","22375"
"Open Sky Ranch Dairy Digester","Supply Chain","62741"
"A-GAS RemTec 2015-2","Supply Chain","135577"
"Mailliard Ranch","Reforestation","984645"
"Forest Carbon Partners -- Fort Seward Improved Forest Management Project","Reforestation",NA
"ClimeCo ODS Destruction 16 and 17","Supply Chain","245946"
"Forest Carbon Partners - Mescalero Apache Tribe Improved Forest Management Project","Reforestation","3855215"
"Spruce Haven Farm COP","Supply Chain","49414"
"Finite Carbon - The Forestland Group Buffalo IFM I","Reforestation",NA
"Wapiti Woods II","Reforestation",NA
"Albion","Reforestation",NA
"Elk Creek","Reforestation",NA
"Garcia River","Reforestation",NA
"Greenwood Creek","Reforestation","408964"
"Hollow Tree","Reforestation","981045"
"North Navarro West","Reforestation",NA
"Turkey Trot Landfill","Supply Chain",NA
"Blue Source - Corkscrew Improved Forest Management Project","Reforestation",NA
"Blue Source-Silver Bluff Improved Forest Management Project","Reforestation",NA
"Finite Carbon - Upper Hudson Woodlands ATP IFM","Reforestation","1511425"
"Blue Source- Stonewall Improved Forest Management Project","Reforestation",NA
"Blue Source- Goodwood Improved Forest Management Project","Reforestation",NA
"Blue Source-Winchendon Improved Forest Management Project","Reforestation",NA
"Blue Source-Snowshoe Improved Forest Management Project","Reforestation",NA
"Blue Source- Sylvan Improved Forest Management Project","Reforestation",NA
"Finite Carbon - AMC Silver Lake IFM","Reforestation","147522"
"Finite Carbon - Lyme Logan IFM","Reforestation","2854646"
"Wapiti Woods I","Reforestation","260576"
"Blue Source-Montrose Improved Forest Management Project","Reforestation",NA
"Finite Carbon - Alma Land Company IFM","Reforestation","622103"
"Blue Source-Wolf River Improved Forest Management Project","Reforestation","552634"
"Blue Source-Westervelt Atlantic Coast Improved Forest Management Project","Reforestation",NA
"Blue Source-Westervelt Piedmont Improved Forest Management Project","Reforestation",NA
"Blue Source-Westervelt Gulf Coast Improved Forest Management Project","Reforestation",NA
"Finite Carbon - MWF Adirondacks IFM","Reforestation","974511"
"Finite Carbon - Molpus Ataya Kentucky IFM","Reforestation",NA
"CF Ataya IFM","Reforestation","2981892"
"Twin Lakes Forest Project","Reforestation",NA
"Finite Carbon - West Grand Lake IFM","Reforestation","573302"
"Coolgas 2015-3","Supply Chain","108622"
"MEGABIODIGESTOR LA POPULAR","Supply Chain",NA
"Coolgas 2016-1","Supply Chain","145594"
"Yippee Farms","Supply Chain","31532"
"Port of Tillamook Bay Regional Anaerobic Digester","Supply Chain","20133"
"DPC Domestic ODS Destruction Project #23","Supply Chain","22548"
"DPC Domestic ODS Destruction Project #25","Supply Chain","101950"
"A-Gas Americas 2016-2","Supply Chain","181190"
"Raven's Nest Nature Preserve","Reforestation","13954"
"Heartland Ranch Phase 1","Reforestation","42496"
"Coolgas 2016-3","Supply Chain","133239"
"A-Gas O'Hare","Supply Chain","111348"
"DPC Domestic ODS Destruction Project #24","Supply Chain",NA
"Perfect Cycle ODS-2","Supply Chain","42233"
"DPC Domestic ODS Destruction Project #27","Supply Chain","54382"
"DPC Domestic ODS Destruction Project #26","Supply Chain","110990"
"Van Steyn Dairy Digester","Supply Chain","8414"
"Woodcrest Dairy Digester","Supply Chain","75640"
"Bluesource - Carroll Avoided Grassland Conversion Project","Reforestation","68353"
"Coolgas 2016-4","Supply Chain","96564"
"A-Gas Americas 2017-1","Supply Chain","141207"
"ClimeCo ODS Destruction 18 and 19","Supply Chain","226896"
"DPC Domestic ODS Destruction Project #28","Supply Chain","55471"
"A-Gas Americas 2017-2","Supply Chain","140916"
"Lambs Dairy Digester","Supply Chain","42579"
"A-Gas Americas 2017-3","Supply Chain","140698"
"Finite Carbon - Rowland IFM","Reforestation","1884718"
"ClimeCo ODS Destruction 20","Supply Chain","72606"
"Lightning Creek Ranch","Reforestation","25883"
"BNW West","Reforestation","8702"
"May Ranch Avoided Grassland Conversion","Reforestation","56638"
"Captura de Carbono en San Juan Lachao, Oaxaca","Reforestation","45942"
"A-Gas Americas 2017-4","Supply Chain","122129"
"Chugach Alaska Forest Carbon Project","Reforestation","6762025"
"Verwey Hanford Dairy Digester","Supply Chain","338616"
"Coolgas 2017-5","Supply Chain","50793"
"A-Gas Americas 2017-6","Supply Chain","55404"
"Coolgas 2017-7","Supply Chain","33184"
"A-Gas Americas 2017-8","Supply Chain","223464"
"ClimeCo ODS Destruction 21","Supply Chain","140452"
"DPC Domestic ODS Destruction Project #30","Supply Chain","51298"
"Lawnhurst Farms Methane Reduction Project","Supply Chain","33378"
"Chaput Family Farms","Supply Chain","17016"
"Berkshire Cow Power","Supply Chain",NA
"ClimeCo ODS Destruction 22","Supply Chain","53956"
"ClimeCo ODS Destruction 23","Supply Chain","44681"
"ClimeCo ODS Destruction 24","Supply Chain","56727"
"ClimeCo ODS Destruction 25","Supply Chain","71572"
"Four Hills Farm","Supply Chain","32219"
"Captura de carbono en San Rafael Ixtapalucan","Reforestation","22948"
"Swiss Valley Farms","Supply Chain","13364"
"BNW Ranch","Reforestation","25215"
"Conservación y Captura de Carbono Co2ltzingo","Reforestation","37532"
"A-Gas Americas 2018-1","Supply Chain","154972"
"Perfect Cycle ODS-3","Supply Chain","52930"
"GJ TeVelde Ranch Dairy Digester","Supply Chain","49676"
"Irony","Supply Chain","8330"
"A-Gas Americas 2018-2","Supply Chain","119844"
"Verwey Madera Dairy Digester","Supply Chain","80170"
"Forest Carbon Partners - Seldovia Native Association Forest Carbon Project","Reforestation","1427839"
"Forest Carbon Partners - English Bay Corporation Forest Carbon Project","Reforestation","1239616"
"Lakeshore Dairy","Supply Chain","14632"
"A-Gas 2018-3","Supply Chain","97831"
"A-Gas 2018-4","Supply Chain","110290"
"Finite Carbon - Sieben Live Stock IFM","Reforestation","252639"
"Adirondack Farms","Supply Chain","77563"
"Heartland Ranch Phase 2","Reforestation","12773"
"ClimeCo ODS Destruction 26","Supply Chain","123703"
"ClimeCo ODS Destruction 27","Supply Chain","50473"
"ClimeCo ODS Destruction 28","Supply Chain","58745"
"A-Gas 2018-5","Supply Chain","102700"
"A-Gas 2018-7","Supply Chain","159218"
"Proyecto Carbono Forestal, Ejido San Nicolás Totolapan, CDMX","Reforestation","3909"
"Coolgas 2018-6","Supply Chain","60855"
"ClimeCo ODS Destruction 29","Supply Chain","97696"
"ClimeCo ODS Destruction 30","Supply Chain","140146"
"A-Gas 2018-8","Supply Chain","128012"
"A-Gas 2018-9","Supply Chain","93703"
"Save the Redwoods League 2018","Reforestation","370976"
"Finite Carbon - Spokane Tribe of Indians IFM","Reforestation","1409512"
"West Star North Dairy","Supply Chain","122333"
"Lakeview Farms Dairy","Supply Chain","131111"
"CE&S Dairy","Supply Chain","131301"
"A-Gas 2019-1","Supply Chain","138241"
"Coolgas 2019-2","Supply Chain",NA
"Remley Family Farms Anaerobic Digester","Supply Chain","17450"
"A-Gas 2019-4","Supply Chain",NA
"AR-Joy Farm Dairy Digester","Supply Chain","7119"
"Captura de Carbono Forestal Ejido San Lucas","Reforestation","9177"
"ClimeCo ODS Destruction 31","Supply Chain","56139"
"Perfect Cycle ODS-4","Supply Chain","65097"
"Heartland Ranch Phase 3","Reforestation","2694"
"Forest Carbon Partners - Hunter Ranch Improved Forest Management Project","Reforestation","454465"
"Monte Rio Improved Forest Management Project","Reforestation","218629"
"Finite Carbon - Boone Parklands IFM","Reforestation",NA
"Lubrecht Experimental Forest Carbon Project","Reforestation","661306"
"Captura de Carbono San Bartolo O2","Reforestation","13662"
"Indigo Ag Nitrogen Management","Supply Chain",NA
"Coffeyville NAP2","Supply Chain","1418218"
"TCT Birmingham IFM Project","Reforestation","702185"
"Two Fiets Digester","Supply Chain","39631"
"Humboldt Mixed Forest Improvement Project","Reforestation","2704431"
"Optima KV, LLC","Supply Chain","68536"
"Hudson Tech 2019-4","Supply Chain","73462"
"RMS Coastal Headwaters Longleaf Restoration Avoided Conversion","Reforestation",NA
"Reforesting the Land of the Jaguar","Reforestation",NA
"El Nopalillo - ASRTulancingo","Reforestation","2771"
"Cima de Togo - ASRTulancingo","Reforestation","9212"
"Chacalapa - ASRTulancingo","Reforestation","2462"
"El Ocote - ASRTulancingo","Reforestation","1931"
"Sangre de Cristo - ASRTulancingo","Reforestation","1024"
"Xahuayalulco - ASRTulancingo","Reforestation","6255"
"Hueyapan - ASRTulancingo","Reforestation","1474"
"Las Puentes y Anexos - ASRTulancingo","Reforestation","5930"
"La Estancia - ASRTulancingo","Reforestation","1861"
"El Ventorrillo - ASRTulancingo","Reforestation","1892"
"San Lorenzo Sayula - ASRTulancingo","Reforestation","2996"
"Sabanetas - ASRTulancingo","Reforestation","1387"
"Tecocomulco - ASRTulancingo","Reforestation","1413"
"Emiliano Zapata - ASRTulancingo","Reforestation","1688"
"Los Romeros - ASRTulancingo","Reforestation","3207"
"San Pedro Huixotitla - ASRTulancingo","Reforestation","4891"
"Puentecillas y Anexos - ASRTulancingo","Reforestation","3342"
"Alhuajoyucan - ASRTulancingo","Reforestation","1409"
"Arturo Gomez Canales - ASRTulancingo","Reforestation",NA
"Ixtula y Sembo - ASRTulancingo","Reforestation","964"
"Hudson Tech 2019-5","Supply Chain","58918"
"Pine Creek Improved Forest Management Project","Reforestation","397099"
"Rochelle Municipal Landfill","Supply Chain","457737"
"Finite Carbon - Stevenson AL IFM","Reforestation","526099"
"Finite Carbon - Stevenson TN IFM","Reforestation","453422"
"Carbono Otomí La Florida","Reforestation","4130"
"ClimeCo ODS Destruction 32","Supply Chain","96280"
"Proyecto de Captura de Carbono Forestal en Bienes Comunales de Santiago Tlacotepec","Reforestation","13035"
"Ninemile 2019","Reforestation",NA
"Bull Creek 2019","Reforestation",NA
"Big Bend 2019","Reforestation",NA
"RBS 2019","Reforestation","1587095"
"Cohasset 2019","Reforestation","162370"
"Mosquito 2019","Reforestation","504480"
"North Stirling 2019","Reforestation",NA
"Tiger 2019","Reforestation",NA
"San Jerónimo ZacapexCO2 - Ejido","Reforestation","33763"
"San Jerónimo ZacapexCO2 - Bienes Comunales","Reforestation","42710"
"N Fixing Microbes - Pivot Bio","Supply Chain","3"
"Finite Carbon - Lyme Wisconsin IFM","Reforestation","840423"
"Ejido forestal Los Bancos","Reforestation","182553"
"The Nature Conservancy Warm Springs IFM Carbon Project","Reforestation",NA
"Van Steyn Dairy Digester","Supply Chain","3476"
"Veseth and Veseth Ranch","Reforestation","10632"
"Carbono, Agua y Biodiversidad Indígena La Trinidad","Reforestation","22193"
"ClimeCo ODS Destruction 33","Supply Chain","119156"
"Big McCarty","Reforestation",NA
"Deadwood","Reforestation",NA
"Wetsel","Reforestation",NA
"Schaads","Reforestation",NA
"Swamp","Reforestation",NA
"Mineral","Reforestation",NA
"Lassen","Reforestation","601493"
"Martell","Reforestation","1058456"
"Carbono, Agua y Biodiversidad Indígena Xiacuí","Reforestation","44969"
"A-Gas UCSD1","Supply Chain","24304"
"A-Gas 4-2020","Supply Chain","87667"
"Carbono, Agua y Biodiversidad Indígena Capulálpam","Reforestation","21613"
"Perfect Cycle ODS-5","Supply Chain","49687"
"Captura de Carbono Forestal en Bosques Urbanos y Periurbanos de la Ciudad de México","Reforestation",NA
"Medford Spring Grassland Conservation","Reforestation","13941"
"Manglares San Crisanto","Reforestation","12367"
"Manglares Ursulo Galvan","Reforestation","4792"
"Ejido sierra de Agua","Reforestation","2612"
"Ejido La Libertad","Reforestation","4916"
"Ejido San Pedro Buenavista","Reforestation","1933"
"Ejido Coatitila","Reforestation","3296"
"Finite Carbon - Dingess Rum IFM","Reforestation","1336678"
"Ejido El Agua de Los Pescados y sus Anexos","Reforestation","973"
"Predio Las Piedras","Reforestation","2597"
"Valle Odiyana","Reforestation",NA
"Predio Las Cañadas","Reforestation",NA
"A-Gas 5-2020","Supply Chain","78211"
"Shasta Cascade Timberlands Forest Carbon Project","Reforestation","221430"
"Carbono, Agua y Biodiversidad Indígena Maninaltepec","Reforestation","39704"
"Captura de carbono forestal en la Comunidad de Rincón de Guadalupe","Reforestation","881"
"Captura de carbono forestal en el Ejido Corral de Piedra","Reforestation","3003"
"Captura de carbono forestal en la comunidad de San Miguel Tenextepec","Reforestation","1403"
"Captura de carbono forestal en el Ejido El Capulín","Reforestation","7572"
"Captura de carbono forestal en la comunidad de Santa María y sus Barrios","Reforestation","6984"
"Captura de carbono forestal en el Ejido San Jerónimo","Reforestation","6125"
"Captura de carbono forestal en el Ejido San Juan","Reforestation","3018"
"Captura de carbono forestal en el Ejido San Mateo","Reforestation","605"
"Captura de carbono forestal en el  Ejido Rincón de Guadalupe","Reforestation","2977"
"Captura de carbono forestal en el Ejido El Potrero","Reforestation","4886"
"Captura de carbono en los Bosques de la Comunidad Indígena Nuevo San Juan Parangaricutiro, México.","Reforestation","71035"
"ClimeCo ODS Destruction 34","Supply Chain","127338"
"A-Gas 1-2021","Supply Chain","84267"
"Indigo U.S. Project No.1","Supply Chain","247947"
"54 Ranch","Reforestation",NA
"Carbono, Agua y Biodiversidad Indígena Ixtlán","Reforestation","87585"
"Carbono, Agua y Biodiversidad Indígena Metaltepec","Reforestation","12451"
"Carbono, Agua y Biodiversidad Indígena Peñoles","Reforestation","74009"
"Carbono, Agua y Biodiversidad Indígena San Bartolomé","Reforestation","81405"
"Pueblos Mancomunados de Oaxaca","Reforestation","29873"
"Grinde Grasslands Project","Reforestation",NA
"Balog Grasslands Project","Reforestation",NA
"Westman Grasslands Project","Reforestation",NA
"Anderson Grassland Project","Reforestation",NA
"Gibson Grassland Project","Reforestation",NA
"Hansen Grassland Project","Reforestation",NA
"Phlogiston Phase I","Supply Chain","12738951"
"A-Gas 2-2021","Supply Chain","56964"
"Guadalupe Zajú, Chanjul, San Antonio Chicharras","Reforestation",NA
"La Gloria de Gante","Reforestation",NA
"CAPTURA DE CARBONO EN EL BOSQUE DE LA SOCIEDAD DE SOLIDARIDAD SOCIAL PIEDRA CANTEADA, NANACAMILPA  DE MARIANO  ARISTA, TLAXCALA,MEXICO","Reforestation","9662"
"Collins - Modoc Reforestation","Reforestation",NA
"Rosendale Anaerobic Digester","Supply Chain",NA
"Kepel Creek Improvement Forest Management Project","Reforestation",NA
"CHD Refo","Reforestation",NA
"Camp Refo","Reforestation",NA
"Highsplint 4-2021","Reforestation",NA
"A-Gas 3-2021","Supply Chain","70708"
"Ejido Topia","Reforestation","73263"
"Ejido Valle de Topia","Reforestation","94771"
"Comunidad Rio y Papudos","Reforestation","51175"
"Ejido Salto de Camellones","Reforestation","152024"
"A-Gas 4-2021","Supply Chain","60731"
"Ejido Las Vigas","Reforestation","8272"
"Ejido Tonalaco","Reforestation","1677"
"Proyecto forestal de carbono del Ejido Pioneros de Río Xhon - Ha","Reforestation","5546"
"Proyecto forestal de carbono del Ejido Lázaro Cárdenas Número 2","Reforestation","1910"
"Proyecto forestal de carbono del Ejido Xbonil","Reforestation","19064"
"Bonos Comunitarios CO2-El Naranjal","Reforestation","7490"
"Bonos Comunitarios CO2-Candelaria II","Reforestation","10085"
"Bonos Comunitarios CO2-San Antonio Tuk","Reforestation","7158"
"Bonos Comunitarios CO2_San Felipe Oriente","Reforestation","1340"
"AgriCapture Soil Enrichment #1","Supply Chain","37647"
"Carbono Petcacab","Reforestation","49253"
"ClimeCo ODS Destruction 35","Supply Chain","122101"
"Two Fiets Digester","Supply Chain","15158"
"Captura de carbono forestal en el ejido San Francisco Oxtotilpan","Reforestation","13341"
"Captura de carbono forestal en el ejido Amanalco de Becerra","Reforestation","2827"
"Captura de carbono forestal en el ejido San Miguel Tenextepec","Reforestation","2951"
"Captura de carbono forestal en los Bienes Comunales de San Miguel Ixtapan","Reforestation","2388"
"Captura de carbono forestal en los Bienes Comunales de San Miguel Xoltepec","Reforestation","1034"
"Captura de carbono forestal en el ejido Nuevo San Juan Atezcapan","Reforestation","483"
"Captura de carbono forestal en el ejido San Miguel Sultepec","Reforestation","516"
"Captura de carbono forestal en el ejido La Candelaria","Reforestation","194"
"Captura de carbono forestal en el ejido Capilla Vieja","Reforestation","326"
"Carbono, Agua y Biodiversidad Indígena Jaltianguis","Reforestation","16286"
"Carbono, Agua y Biodiversidad Indígena Comaltepec","Reforestation","70088"
"P. P. La Pinzión","Reforestation","832"
"P. P. Peña del gato","Reforestation","1033"
"P. P. El Pelón","Reforestation","8011"
"P.P. El águila","Reforestation","495"
"P.P. El Tecolote","Reforestation","1063"
"P.P. Estancia Borrotes","Reforestation","226"
"Ejido Atopixco","Reforestation","5192"
"Ejido Malila","Reforestation","969"
"Ejido Zacualtipán","Reforestation","3492"
"Ejido La Selva","Reforestation","28320"
"Bienes Comunales Santa Isabel Chalma","Reforestation","3162"
"Bienes Comunales San Pedro Ecatzingo","Reforestation","6935"
"Ejido San Antonio de la Rinconada o Tlaltecahuacan","Reforestation","1570"
"Proyecto Forestal de Carbono La Mariana","Reforestation",NA
"Proyecto Forestal de Carbono Los Cerritos","Reforestation",NA
"Ejido Tlalmanalco","Reforestation","18376"
"Ejido San Martín Cuautlalpan","Reforestation","13150"
"Bienes Comunales Santiago Cuautenco","Reforestation","5548"
"Lost Coast Forestlands Improved Forest Management Project","Reforestation","793065"
"Brimex Energy and Biogas","Supply Chain",NA
"Organics By Gosh","Supply Chain",NA
"Nutrien NMPP Project","Supply Chain","588"
"A-Gas 1-2022","Supply Chain","59147"
"Hamptons Road Recovery Center","Supply Chain","14085"
"Bluesource - Soda Creek Avoided Grassland Conversion Project","Reforestation","6696"
